minute,period,shot_open_goal,shot_statsbomb_xg,fk_duration,pass_angle,pass_length,pass_switch,shot_x,shot_y,fk_x,fk_y,distance_to_goal,shooter_position_Center Attacking Midfield,shooter_position_Center Back,shooter_position_Center Defensive Midfield,shooter_position_Center Forward,shooter_position_Center Midfield,shooter_position_Goalkeeper,shooter_position_Left Attacking Midfield,shooter_position_Left Back,shooter_position_Left Center Back,shooter_position_Left Center Forward,shooter_position_Left Center Midfield,shooter_position_Left Defensive Midfield,shooter_position_Left Midfield,shooter_position_Left Wing,shooter_position_Left Wing Back,shooter_position_Right Attacking Midfield,shooter_position_Right Back,shooter_position_Right Center Back,shooter_position_Right Center Forward,shooter_position_Right Center Midfield,shooter_position_Right Defensive Midfield,shooter_position_Right Midfield,shooter_position_Right Wing,shooter_position_Right Wing Back,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,pass_height_Ground Pass,pass_height_High Pass,pass_height_Low Pass,fk_taker_position_Center Attacking Midfield,fk_taker_position_Center Back,fk_taker_position_Center Defensive Midfield,fk_taker_position_Center Forward,fk_taker_position_Center Midfield,fk_taker_position_Goalkeeper,fk_taker_position_Left Attacking Midfield,fk_taker_position_Left Back,fk_taker_position_Left Center Back,fk_taker_position_Left Center Forward,fk_taker_position_Left Center Midfield,fk_taker_position_Left Defensive Midfield,fk_taker_position_Left Midfield,fk_taker_position_Left Wing,fk_taker_position_Left Wing Back,fk_taker_position_Right Attacking Midfield,fk_taker_position_Right Back,fk_taker_position_Right Center Back,fk_taker_position_Right Center Forward,fk_taker_position_Right Center Midfield,fk_taker_position_Right Defensive Midfield,fk_taker_position_Right Midfield,fk_taker_position_Right Wing,fk_taker_position_Right Wing Back,distance_player_1,distance_player_2,distance_player_3,distance_player_4,distance_player_5,distance_player_6,distance_player_7,distance_player_8,distance_player_9,distance_player_10,angle_player_1,angle_player_2,angle_player_3,angle_player_4,angle_player_5,angle_player_6,angle_player_7,angle_player_8,angle_player_9,angle_player_10,teammates_player_1,teammates_player_2,teammates_player_3,teammates_player_4,teammates_player_5,teammates_player_6,teammates_player_7,teammates_player_8,teammates_player_9,teammates_player_10,pred_base_xg,pred_improved_xg,pctge_improvement
37,1,1,0.047790155,1.418802,1.0623468,35.947323,1,109.3,36.4,91.8,5.0,11.289375536317324,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8062257748298522,2.7459060435491995,2.765863337187869,2.799999999999997,2.8017851452243767,4.527692569068712,4.775981574503824,5.246903848937966,5.941380311005178,6.053924347066132,168.52957556614533,141.70678274312863,173.93336692639497,161.40455921724336,69.35915072835625,114.6146486089974,128.16856661316692,116.26224504457085,78.17073403979646,139.39688675889352,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0.0478027276694774,0.0480033829808235,0.4199999868869781
48,1,1,0.058214318,1.03145,-2.2301989,21.382704,1,101.5,44.6,114.6,61.5,19.063315556324405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.9040799340956935,11.727318534089544,11.886967653695368,13.68539367354845,13.984276885130678,14.024621207005916,14.418391033676402,14.70272083663429,14.972307771349085,15.098675438593943,177.37600955654744,169.94822369905384,146.91793962458755,167.96000226896334,177.3425911995826,178.3882110365552,176.0216120911685,133.53557134616395,178.0705171331375,152.99161177995995,0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0.0596970133483409,0.0659235045313835,10.43000030517578
74,2,1,0.0149242785,2.715643,0.8919939,53.833538,1,104.3,55.1,70.5,13.2,21.78302091079197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7615773105863858,1.1401754250991385,1.5297058540778348,4.204759208325731,7.653757247260985,10.577334257741883,11.98081800212323,12.532358118087751,12.68108828137396,12.92942380773405,69.3146009050554,96.00900595749438,122.57405713457264,131.15767861468643,151.37198698474126,149.23412610101713,81.4234234824244,138.00217931258155,115.02040205296863,146.84539145958476,0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0154735753312706,0.0276960954070091,247.77999877929688
51,2,1,0.057205044,1.154653,0.9846646,29.648777,1,106.2,36.9,89.8,12.2,14.143903280212289,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.147091055358388,2.3345235059857488,2.8160255680657467,2.973213749463703,4.522167621838007,4.939635614091388,5.178802950489617,6.555150646628952,7.465252842335621,7.725283166331188,130.41916352131878,67.47357013665673,150.83501569798634,144.93431192635245,120.6949084873885,134.42010300507147,87.3473568811825,124.13741389979906,141.68002339549528,8.589882586874495,1,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0.0154735753312706,0.0562390387058258,129.52999877929688
49,2,1,0.08595843,1.555444,1.6897292,32.026237,1,112.1,41.4,115.9,9.6,8.02309167341369,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,1.7888543819998382,3.50570962859162,3.5468295701936388,3.8078865529319534,4.373785545725805,4.743416490252559,4.827007354458858,6.768308503607095,7.766595135579043,169.95065141187513,126.61439976520316,96.77886066494148,11.452085735923108,129.98086042863275,89.51016485949667,44.74450211935884,3.1232048352022144,177.24508252283815,111.9380066277529,0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.05297626927495,0.0866358801722526,65.13999938964844
49,2,1,0.12057706,1.961682,0.8700083,35.979023,1,115.4,47.4,92.2,19.9,8.713208364316783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.6076809620810613,3.981205847478879,4.410215414239989,5.800862004909268,5.981638571495261,7.502666192761077,7.762087348130012,7.920227269466456,8.640601830891184,8.709190547921198,143.73531695140073,122.85630007084336,115.16461840293412,147.14626190675645,173.65495226804242,146.6064968641834,133.2026051282588,110.83007402841284,34.23886089132599,145.50158743740982,0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0.085725262761116,0.1313960999250412,38.36000061035156
73,2,1,0.046031747,1.858361,1.9364376,37.47746,1,97.5,43.5,110.9,8.5,22.7705950734714,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.475208828467334,12.07849328351844,12.675172582651488,12.879829191413991,13.793114224133722,13.845215780189202,14.446106741956465,15.11621645783097,16.140012391568973,16.4283291907607,168.15773429224484,174.460419969101,179.30517880173264,130.18702870190734,108.44071762873348,179.46386164536392,162.98627237138834,168.5039899264017,154.96897918278137,147.08946213793345,0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,0.1236207634210586,0.0522387512028217,85.12999725341797
27,1,1,0.032508153,1.080172,-0.6517257,29.180986,1,105.6,43.1,82.4,60.8,14.729901561110315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3999999999999986,1.0630145812734753,1.2083045973594584,2.02237484161567,3.6715119501371647,5.035871324805668,6.013318551349164,7.532595834106591,8.209750300709517,9.575489543621256,77.85090839255867,150.963166441732,126.59304638785784,110.6798572173898,72.79133806465015,95.30631819481049,105.96316644173176,96.81693272578188,68.07189632731065,109.348325245809,0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,1,0.046072743833065,0.035713542252779,240.0200042724609
89,2,1,0.21981987,2.212229,-0.8869,46.05757,1,115.7,34.7,86.6,70.4,6.824954212300618,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36014705087355,2.163330765278398,2.7018512172212565,3.330165161069345,3.929376540877697,4.579301256742126,5.646237685397239,7.922752047110908,8.184130986244048,9.202173656261872,21.95040797697395,72.74320447200628,179.93785709647045,99.5990858342798,65.69042589044425,109.33936080772452,118.01476261638368,55.29010300566285,105.89748974192509,98.5894083480382,0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0335031151771545,0.22469262778759,32.68000030517578
69,2,1,0.23913546,1.728224,1.616539,28.429737,1,116.8,37.3,118.1,8.9,4.186884283091668,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6324555320336713,1.4999999999999971,2.109502310972893,2.549509756796392,3.138470965295049,3.1575306807693835,3.3241540277189325,3.712142238654113,4.162931659299734,6.053098380168619,68.27894919800309,93.28610197907564,44.40366834407508,118.84606715089912,162.3234347721838,51.1100622683177,114.44736179590372,45.20853694817807,106.05376512375818,57.438643743672095,0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,1,0.2196791023015976,0.2440661340951919,44.91999816894531
