minute,period,shot_open_goal,shot_statsbomb_xg,fk_duration,pass_angle,pass_length,pass_switch,shot_x,shot_y,fk_x,fk_y,shooter_position_Center Attacking Midfield,shooter_position_Center Back,shooter_position_Center Defensive Midfield,shooter_position_Center Forward,shooter_position_Center Midfield,shooter_position_Goalkeeper,shooter_position_Left Attacking Midfield,shooter_position_Left Back,shooter_position_Left Center Back,shooter_position_Left Center Forward,shooter_position_Left Center Midfield,shooter_position_Left Defensive Midfield,shooter_position_Left Midfield,shooter_position_Left Wing,shooter_position_Left Wing Back,shooter_position_Right Attacking Midfield,shooter_position_Right Back,shooter_position_Right Center Back,shooter_position_Right Center Forward,shooter_position_Right Center Midfield,shooter_position_Right Defensive Midfield,shooter_position_Right Midfield,shooter_position_Right Wing,shooter_position_Right Wing Back,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,pass_height_Ground Pass,pass_height_High Pass,pass_height_Low Pass,fk_taker_position_Center Attacking Midfield,fk_taker_position_Center Back,fk_taker_position_Center Defensive Midfield,fk_taker_position_Center Forward,fk_taker_position_Center Midfield,fk_taker_position_Goalkeeper,fk_taker_position_Left Attacking Midfield,fk_taker_position_Left Back,fk_taker_position_Left Center Back,fk_taker_position_Left Center Forward,fk_taker_position_Left Center Midfield,fk_taker_position_Left Defensive Midfield,fk_taker_position_Left Midfield,fk_taker_position_Left Wing,fk_taker_position_Left Wing Back,fk_taker_position_Right Attacking Midfield,fk_taker_position_Right Back,fk_taker_position_Right Center Back,fk_taker_position_Right Center Forward,fk_taker_position_Right Center Midfield,fk_taker_position_Right Defensive Midfield,fk_taker_position_Right Midfield,fk_taker_position_Right Wing,fk_taker_position_Right Wing Back,distance_to_goal,distance_player_1,distance_player_2,distance_player_3,distance_player_4,angle_player_1,angle_player_2,angle_player_3,angle_player_4,teammates_player_1,teammates_player_2,teammates_player_3,teammates_player_4
37,1,1,0.047790155,1.418802,1.0623468,35.947323,1,109.3,36.4,91.8,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.289375536317324,0.8062257748298522,2.7459060435491995,2.765863337187869,2.799999999999997,168.52957556614533,141.70678274312863,173.93336692639497,161.40455921724336,0,0,0,1
48,1,1,0.058214318,1.03145,-2.2301989,21.382704,1,101.5,44.6,114.6,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.063315556324405,4.9040799340956935,11.727318534089543,11.886967653695368,13.68539367354845,177.37600955654744,169.94822369905384,146.91793962458755,167.96000226896334,0,1,1,0
74,2,1,0.0149242785,2.715643,0.8919939,53.833538,1,104.3,55.1,70.5,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.78302091079197,0.7615773105863858,1.1401754250991385,1.5297058540778348,4.204759208325731,69.3146009050554,96.00900595749438,122.57405713457263,131.15767861468643,0,1,0,1
51,2,1,0.057205044,1.154653,0.9846646,29.648777,1,106.2,36.9,89.8,12.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.143903280212289,2.1470910553583873,2.3345235059857488,2.8160255680657467,2.973213749463703,130.41916352131878,67.47357013665673,150.83501569798634,144.93431192635245,1,0,1,0
49,2,1,0.08595843,1.555444,1.6897292,32.026237,1,112.1,41.4,115.9,9.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.02309167341369,0.5,1.7888543819998382,3.50570962859162,3.5468295701936388,169.95065141187513,126.61439976520316,96.77886066494148,11.452085735923108,0,0,0,0
49,2,1,0.12057706,1.961682,0.8700083,35.979023,1,115.4,47.4,92.2,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.713208364316783,2.6076809620810613,3.981205847478879,4.410215414239989,5.800862004909268,143.73531695140073,122.85630007084336,115.16461840293412,147.14626190675645,0,1,0,0
73,2,1,0.046031747,1.858361,1.9364376,37.47746,1,97.5,43.5,110.9,8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7705950734714,10.475208828467334,12.07849328351844,12.675172582651488,12.879829191413993,168.15773429224484,174.460419969101,179.30517880173264,130.18702870190734,0,0,0,0
27,1,1,0.032508153,1.080172,-0.6517257,29.180986,1,105.6,43.1,82.4,60.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.729901561110315,0.3999999999999986,1.0630145812734753,1.2083045973594584,2.02237484161567,77.85090839255867,150.963166441732,126.59304638785785,110.6798572173898,0,1,0,1
89,2,1,0.21981987,2.212229,-0.8869,46.05757,1,115.7,34.7,86.6,70.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.824954212300618,1.36014705087355,2.1633307652783986,2.7018512172212565,3.3301651610693446,21.95040797697395,72.74320447200628,179.93785709647045,99.5990858342798,0,1,0,0
69,2,1,0.23913546,1.728224,1.616539,28.429737,1,116.8,37.3,118.1,8.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.186884283091668,0.6324555320336713,1.4999999999999971,2.109502310972893,2.5495097567963922,68.27894919800309,93.28610197907564,44.40366834407508,118.84606715089913,0,0,0,1
15,1,1,0.110566854,2.16313,0.9304399,44.52022,1,113.9,45.0,87.2,9.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.887331614684394,1.2727922061357886,1.9209372712298476,2.5495097567963922,2.9154759474226504,5.6594818401621945,168.00032641392738,118.03058568581734,70.30427469191108,0,0,0,0
34,1,1,0.101909965,1.184331,-0.6814485,27.940115,1,110.3,43.8,88.6,61.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.417773274553449,1.2041594578792318,3.2249030993194148,3.982461550347971,4.7265209192385855,63.84346795729268,51.1377716489236,72.50839391826679,105.32043394477371,0,1,0,1
48,2,1,0.03799639,1.365262,1.0342304,35.60337,1,107.6,35.8,89.4,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09198227924252,1.3000000000000043,1.3928388277184225,2.9000000000000057,4.119465984809199,108.71173787509977,140.25075109947858,108.71173787509977,114.28393567906365,0,0,1,0
51,2,1,0.025937038,1.974048,-1.475031,40.786884,1,94.7,30.2,87.0,67.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27.13171575849931,2.801785145224377,8.202438661763955,10.239628899525611,10.75639344761988,145.99845454614865,157.42885358351168,163.86848567997902,178.94566775162656,0,0,1,0
54,2,1,0.022162419,1.039342,-1.6525807,6.1204576,1,93.9,50.1,93.4,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27.986067962470177,4.609772228646443,6.484597134749387,7.060453243241538,12.97574660665042,135.4961909037634,132.27984785585105,174.45588756660877,145.02284439719736,0,0,0,1
21,1,1,0.05730636,1.847372,1.7194247,37.81693,1,110.3,43.7,115.9,6.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.38171469459646,1.0049875621120892,2.66833281282526,2.6925824035672608,3.275667870831839,164.83157625694233,56.12636632752616,174.18947127893483,37.85725142506508,0,0,1,1
33,1,1,0.023191312,1.507253,0.9792948,39.63357,1,105.6,37.7,83.5,4.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.582523787054152,1.4212670403551997,1.4560219778560999,1.655294535724683,2.408318915758458,131.63583511649102,83.12936212008611,164.0578645429088,103.83839971173492,0,1,0,0
30,1,1,0.02334218,1.234823,1.3673033,6.432729,1,90.2,48.8,82.8,49.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31.072174046886385,4.701063709417267,7.343023900274329,8.955445270895241,10.400961494015828,162.32914808121484,45.809730226445,167.02452028046403,139.6836877516332,0,1,0,1
84,2,1,0.062444646,1.466417,-1.2046506,34.91432,1,110.1,38.5,97.6,71.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.012991560967189,1.0198039027185575,1.077032961426903,2.102379604162865,2.594224354214568,109.92558065818449,103.18576130218798,95.88933719025799,108.93716339255379,0,0,1,0
93,2,1,0.18715149,1.283313,1.1934478,35.28229,1,113.4,40.4,100.4,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61211010192661,0.8944271909999255,1.170469991071961,1.6031219541881407,2.5317977802344314,23.09682191816045,113.4513357808167,90.10810511608001,102.55850617973928,0,0,1,1
36,1,1,0.08324678,1.801091,1.0864382,38.871197,1,110.8,40.3,92.7,5.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.20489000477464,0.8062257748298602,1.6278820596099637,1.9416487838947596,2.0615528128088303,95.25733750946821,49.35723176143337,103.75633687906232,102.16856462849233,0,0,0,1
