index,idx_generation,best_solution,initial_xg,best_xG
628,1,"[108.71518524301814 44.03618280885581 110.32420557332017
 42.550489694578964 108.79539013341282 46.60672333850126
 104.05844328641884 47.067551481521654 105.99304183282537
 44.87326843124594 114.83196126146551 51.50478061945986]",0.07942085,[0.10442892]
628,2,"[109.54639585455921 42.14374270683502 110.32420557332017
 48.736982201946795 107.51548780237916 51.48440927535849
 104.05844328641884 47.6700456515311 101.17897045670938 47.10543255269176
 111.39075145140646 50.1419899704133]",0.07942085,[0.14224926]
628,3,"[111.0 43.63305915560684 106.12383936164059 48.736982201946795
 109.60395078080045 48.02689878036874 103.6928374419468 47.6700456515311
 101.17897045670938 47.10543255269176 111.39075145140646 50.1419899704133]",0.07942085,[0.16282678]
628,4,"[111.0 43.63305915560684 106.12383936164059 48.736982201946795
 109.60395078080045 48.02689878036874 103.6928374419468 47.6700456515311
 101.17897045670938 47.10543255269176 111.39075145140646 50.1419899704133]",0.07942085,[0.16282678]
628,5,"[111.0 43.63305915560684 106.12383936164059 48.736982201946795
 109.60395078080045 51.48440927535849 103.6928374419468 47.6700456515311
 101.17897045670938 46.02381438635826 110.22396642748294
 50.733005554373975]",0.07942085,[0.16452551]
628,6,"[111.0 43.63305915560684 110.67123202654521 48.578817210387776
 107.51548780237916 51.48440927535849 103.6928374419468 47.6700456515311
 101.17897045670938 47.10543255269176 111.20844617822075 46.07335292959208]",0.07942085,[0.16554648]
628,7,"[111.0 41.43966349390907 110.67123202654521 48.578817210387776
 107.51548780237916 51.48440927535849 103.6928374419468 47.6700456515311
 101.17897045670938 47.10543255269176 111.20844617822075 46.07335292959208]",0.07942085,[0.17032182]
628,8,"[111.0 41.43966349390907 110.67123202654521 48.578817210387776
 107.51548780237916 51.48440927535849 103.6928374419468 47.6700456515311
 101.17897045670938 47.10543255269176 111.20844617822075 46.07335292959208]",0.07942085,[0.17032182]
628,9,"[111.0 40.93587480838928 110.67123202654521 48.578817210387776
 107.51548780237916 51.48440927535849 103.6928374419468 47.6700456515311
 101.17897045670938 47.10543255269176 111.20844617822075 46.07335292959208]",0.07942085,[0.18504907]
628,10,"[111.0 40.93587480838928 110.67123202654521 48.578817210387776
 107.51548780237916 51.48440927535849 103.96692797650995 47.49109266230045
 101.65302221833127 49.51111699801942 111.20844617822075 46.07335292959208]",0.07942085,[0.18508397]
628,11,"[111.0 40.93587480838928 108.82739420898001 45.950390892879824
 107.51548780237916 51.48440927535849 103.6928374419468 47.6700456515311
 101.17897045670938 49.51111699801942 111.20844617822075 46.07335292959208]",0.07942085,[0.1854914]
628,12,"[111.0 40.93587480838928 110.67123202654521 48.578817210387776
 109.56348328002386 49.85850526353982 103.6928374419468 47.49109266230045
 101.17897045670938 47.10543255269176 111.20844617822075 46.07335292959208]",0.07942085,[0.1870719]
628,13,"[111.0 40.93587480838928 110.67123202654521 48.578817210387776
 104.60803612599295 47.56757111557219 102.48155777916111 46.80005179153434
 101.17897045670938 47.10543255269176 111.20844617822075 46.07335292959208]",0.07942085,[0.1872687]
628,14,"[111.0 40.93587480838928 110.67123202654521 48.578817210387776
 109.56348328002386 49.85850526353982 103.6928374419468 47.49109266230045
 101.17897045670938 47.10543255269176 111.1878281925233 49.727903561354694]",0.07942085,[0.18752642]
628,15,"[111.0 40.93587480838928 110.67123202654521 48.578817210387776
 104.60803612599295 47.56757111557219 103.6928374419468 50.17563081041984
 100.49939899793563 49.32977997460318 111.65424067658167
 45.568954692207214]",0.07942085,[0.18792188]
628,16,"[111.0 40.93587480838928 110.67123202654521 48.578817210387776
 104.60803612599295 47.56757111557219 103.6928374419468 50.17563081041984
 100.49939899793563 49.32977997460318 111.65424067658167
 45.568954692207214]",0.07942085,[0.18792188]
628,17,"[111.0 40.93587480838928 109.76183726608053 47.07196786783253
 109.56348328002386 49.85850526353982 103.6928374419468 50.17563081041984
 100.49939899793563 49.32977997460318 111.65424067658167 46.07335292959208]",0.07942085,[0.18810053]
628,18,"[111.0 40.93587480838928 109.88895181276523 45.12920656501976
 109.56348328002386 49.85850526353982 103.6928374419468 50.17563081041984
 100.49939899793563 49.32977997460318 111.65424067658167 46.07335292959208]",0.07942085,[0.18864377]
